Project ID,2010 Census Tract,"Metro/Non-Metro, 2010 Census",Origination Year,Community Development Entity (CDE) Name,Project QLICI Amount,Estimated Total Project Cost,City,Standard_City,State,Standard_State,Zip Code,Purpose of Investment,QALICB Type,Multi-CDE,Multi-Tract Project
AK0018,2050000100,Non-Metropolitan,2006,"Alaska Growth Capital BIDCO, Inc.","$337,500.00 ","$450,000.00 ",Kwethluk,Kwethluk,AK,Alaska,99621,Business Financing,NRE,NO,NO
AK0019,2090000100,Non-Metropolitan,2006,"Alaska Growth Capital BIDCO, Inc.","$431,250.00 ","$575,000.00 ",Fairbanks,Fairbanks,AK,Alaska,99701,Business Financing,NRE,NO,NO
AK0020,2090000300,Non-Metropolitan,2006,"Alaska Growth Capital BIDCO, Inc.","$495,000.00 ","$660,000.00 ",Fairbanks,Fairbanks,AK,Alaska,99701,Business Financing,NRE,NO,NO
AK0021,2290000200,Non-Metropolitan,2006,"Alaska Growth Capital BIDCO, Inc.","$1,200,000.00 ","$1,600,000.00 ",Stevens Village,Stevens Village,AK,Alaska,99774,Business Financing,NRE,NO,NO
AK0022,2188000200,Non-Metropolitan,2010,"Alaska Growth Capital BIDCO, Inc.","$17,460,995.00 ","$24,000,000.00 ",Kotzebue,Kotzebue,AK,Alaska,99752,Business Financing,NRE,NO,NO
AK0025,2170000102,Non-Metropolitan,2006,"Alaska Growth Capital BIDCO, Inc.","$348,750.00 ","$465,000.00 ",Talkeetna,Talkeetna,AK,Alaska,99676,Business Financing,NRE,NO,NO
AK0026,2122000100,Non-Metropolitan,2004,"Alaska Growth Capital BIDCO, Inc.","$1,000,000.00 ","$1,000,000.00 ",Tyonek,Tyonek,AK,Alaska,99682,Business Financing,NRE,NO,NO
AK0027,2180000100,Non-Metropolitan,2004,"Alaska Growth Capital BIDCO, Inc.","$2,138,132.60 ","$2,138,132.60 ",Unalakleet,Unalakleet,AK,Alaska,99684,Business Financing,NRE,NO,NO
AK0029,2050000100,Non-Metropolitan,2011,Multi-CDE Project,"$140,523,585.00 ","$140,523,585.00 ",Anchorage,Anchorage,AK,Alaska,99518,Business Financing,NRE,YES,YES
AK0030,2290000300,Non-Metropolitan,2011,"Travois New Markets, LLC","$7,644,000.00 ","$7,800,000.00 ",Galena,Galena,AK,Alaska,99741,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,NRE,NO,NO
AK0032,2020001100,Metropolitan,2012,Multi-CDE Project,"$17,300,000.00 ","$22,104,901.00 ",Anchorage,Anchorage,AK,Alaska,99501,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,RE,YES,NO
AK0033,2020000600,Metropolitan,2006,"Alaska Growth Capital BIDCO, Inc.","$150,000.00 ","$200,000.00 ",Anchorage,Anchorage,AK,Alaska,99501,Business Financing,NRE,NO,NO
AK0034,2020000600,Metropolitan,2006,"Alaska Growth Capital BIDCO, Inc.","$297,000.00 ","$396,000.00 ",Anchorage,Anchorage,AK,Alaska,99501,Business Financing,NRE,NO,NO
AK0035,2020001000,Metropolitan,2011,"Alaska Growth Capital BIDCO, Inc.","$100,000.00 ","$100,000.00 ",Anchorage,Anchorage,AK,Alaska,99501,Business Financing,NRE,NO,NO
AK0036,2290000400,Non-Metropolitan,2011,"Alaska Growth Capital BIDCO, Inc.","$400,000.00 ","$400,000.00 ",Anvik,Anvik,AK,Alaska,99558,Business Financing,RE,NO,NO
AK0037,2020001400,Metropolitan,2017,Clearinghouse Community Development Financial Institution,"$9,800,000.00 ","$28,000,000.00 ",Anchorage,Anchorage,AK,Alaska,99503,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,NRE,NO,NO
AK0038,2050000100,Non-Metropolitan,2017,"National Community Fund I, LLC","$14,700,000.00 ","$26,338,744.00 ",Hooper Bay,Hooper Bay,AK,Alaska,99604,Business Financing,NRE,NO,YES
AL0001,1073001902,Metropolitan,2006,"Wachovia Community Development Enterprises, LLC","$14,400,000.00 ","$17,408,000.00 ",Birmingham,Birmingham,AL,Alabama,35206,Real Estate–Rehabilitation–Commercial,RE,NO,NO
AL0002,1073002700,Metropolitan,2007,"Cahaba Community Development, LLC","$1,000,000.00 ","$3,794,737.00 ",BIRMINGHAM,Birmingham,AL,Alabama,35203,Real Estate–Rehabilitation–Commercial,RE,NO,NO
AL0003,1073004500,Metropolitan,2009,Greystone CDE LLC,"$3,500,000.00 ","$4,000,000.00 ",Birmingham,Birmingham,AL,Alabama,35233,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,NRE,NO,NO
AL0004,1073004500,Metropolitan,2007,"Cahaba Community Development, LLC","$16,250,000.00 ","$26,552,358.00 ",BIRMINGHAM,Birmingham,AL,Alabama,35233,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,RE,NO,NO
AL0005,1073003500,Metropolitan,2010,"HFHI-SA NMTC I, LLC","$5,908,129.00 ","$8,936,945.00 ",Birmingham,Birmingham,AL,Alabama,35205,Real Estate – Construction–Housing-Single Family,RE,NO,YES
AL0006,1073004500,Metropolitan,2007,"Cahaba Community Development, LLC","$18,200,000.00 ","$25,886,800.00 ",BIRMINGHAM,Birmingham,AL,Alabama,35205,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,RE,NO,NO
AL0007,1121011300,Non-Metropolitan,2008,"National New Markets Tax Credit Fund, Inc","$122,500.00 ","$435,750.00 ",Childersburg,Sylacauga,AL,Alabama,35150,Business Financing,NRE,NO,NO
AL0008,1069041400,Metropolitan,2008,"Eclypse Development Partners I, LLC","$2,500,000.00 ","$2,500,000.00 ",Dothan,Dothan,AL,Alabama,36303,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,RE,NO,NO
AL0009,1097001200,Metropolitan,2008,"National New Markets Tax Credit Fund, Inc","$2,100,000.00 ","$4,200,000.00 ",Mobile,Mobile,AL,Alabama,36610,Business Financing,NRE,NO,NO
AL0010,1097001200,Metropolitan,2008,"National New Markets Tax Credit Fund, Inc","$1,400,000.00 ","$3,400,000.00 ",Mobile,Mobile,AL,Alabama,36602,Business Financing,NRE,NO,NO
AL0011,1097006701,Metropolitan,2008,"HFHI-SA NMTC I, LLC","$4,033,024.00 ","$4,033,024.00 ",Wilmer,Wilmer,AL,Alabama,36587,Real Estate – Construction–Housing-Single Family,RE,NO,YES
AL0012,1059973500,Non-Metropolitan,2003,"Eclypse Development Partners I, LLC","$5,000,000.00 ","$8,875,348.37 ",Red Bay,Red Bay,AL,Alabama,35582,Business Financing,NRE,NO,NO
AL0013,1097007300,Metropolitan,2011,"AMCREF Community Capital, LLC","$8,407,709.00 ","$8,407,709.00 ",Bayou Labatre,Bayou La Batre,AL,Alabama,36509,Business Financing,NRE,NO,NO
AL0014,1073004000,Metropolitan,2011,Multi-CDE Project,"$14,600,000.00 ","$59,331,394.00 ",Birmingham,Birmingham,AL,Alabama,35211,Business Financing,NRE,YES,NO
AL0015,1107050400,Non-Metropolitan,2012,Multi-CDE Project,"$53,730,000.00 ","$71,010,000.00 ",Aliceville,Aliceville,AL,Alabama,35442,Business Financing,NRE,YES,NO
AL0016,1101001600,Metropolitan,2012,Multi-CDE Project,"$17,031,500.00 ","$18,955,843.00 ",Montgomery,Montgomery,AL,Alabama,36107,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,NRE,YES,NO
AL0017,1097000200,Metropolitan,2005,Liberty Bank and Trust Company,"$14,000,000.00 ","$35,000,000.00 ",Mobile,Mobile,AL,Alabama,36602,Business Financing,NRE,NO,NO
AL0018,1105687000,Metropolitan,2013,Multi-CDE Project,"$7,701,500.00 ","$7,701,500.00 ",Greenville,Greenville,AL,Alabama,36037,Business Financing,NRE,YES,YES
AL0019,1089003000,Metropolitan,2013,Multi-CDE Project,"$13,500,000.00 ","$31,850,815.00 ",Huntsville,Huntsville,AL,Alabama,35801,Business Financing,NRE,YES,NO
AL0020,1133965600,Non-Metropolitan,2013,"Urban Development Fund, LLC","$9,142,857.15 ","$10,201,022.00 ",Nauvoo,Nauvoo,AL,Alabama,35578,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,NRE,NO,NO
AL0021,1047956100,Non-Metropolitan,2013,"AMCREF Community Capital, LLC","$11,386,500.00 ","$49,599,774.00 ",Selma,Selma,AL,Alabama,36703,Business Financing,NRE,NO,NO
AL0022,1031011000,Non-Metropolitan,2013,Multi-CDE Project,"$12,000,000.00 ","$12,000,000.00 ",Enterprise,Enterprise,AL,Alabama,36330,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,SPE,YES,NO
AL0023,1121011200,Non-Metropolitan,2013,"Advantage Capital Community Development Fund, LLC","$1,226,550.00 ","$1,443,000.00 ",Childersburg,Childersburg,AL,Alabama,35044,Business Financing,NRE,NO,NO
AL0024,1069041500,Metropolitan,2013,"Advantage Capital Community Development Fund, LLC","$1,678,000.00 ","$1,678,000.00 ",Dothan,Dothan,AL,Alabama,36303,Business Financing,NRE,NO,NO
AL0025,1097000800,Metropolitan,2013,"Urban Development Fund, LLC","$9,142,857.14 ","$10,990,624.00 ",Mobile,Mobile,AL,Alabama,36617,Real Estate–Rehabilitation–Commercial,RE,NO,NO
AL0026,1097000200,Metropolitan,2013,"SOUTHERN COMMUNITY CAPITAL, LLC","$7,275,000.00 ","$7,500,000.00 ",Mobile,Mobile,AL,Alabama,36603,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,SPE,NO,NO
AL0027,1125011600,Metropolitan,2013,"Advantage Capital Community Development Fund, LLC","$16,000,000.00 ","$16,000,000.00 ",Tuscaloosa,Tuscaloosa,AL,Alabama,35401,Business Financing,NRE,NO,NO
AL0028,1089000201,Metropolitan,2013,"Urban Development Fund, LLC","$9,142,857.14 ","$26,229,601.00 ",Huntsville,Huntsville,AL,Alabama,35811,Business Financing,NRE,NO,NO
AL0029,1073002400,Metropolitan,2013,"Advantage Capital Community Development Fund, LLC","$3,150,000.00 ","$3,150,000.00 ",Birmingham,Birmingham,AL,Alabama,35222,Business Financing,NRE,NO,NO
AL0030,1031011000,Non-Metropolitan,2014,Multi-CDE Project,"$11,920,000.00 ","$29,360,667.00 ",Enterprise,Enterprise,AL,Alabama,36330,Business Financing,NRE,YES,YES
AL0031,1003011501,Non-Metropolitan,2013,Multi-CDE Project,"$22,025,000.00 ","$30,506,496.00 ",Foley,Foley,AL,Alabama,36535,Business Financing,NRE,YES,NO
AL0032,1081040700,Metropolitan,2013,"Dakotas America, LLC","$10,000,000.00 ","$28,928,072.00 ",Auburn,Auburn,AL,Alabama,36832,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,RE,NO,NO
AL0033,1053970500,Non-Metropolitan,2013,"Advantage Capital Community Development Fund, LLC","$6,278,221.60 ","$7,847,777.00 ",Atmore,Atmore,AL,Alabama,36502,Business Financing,NRE,NO,NO
AL0034,1015000500,Metropolitan,2014,"Advantage Capital Community Development Fund, LLC","$2,291,000.00 ","$2,291,000.00 ",Anniston,Anniston,AL,Alabama,36201,Business Financing,NRE,NO,NO
AL0035,1097001200,Metropolitan,2014,"Whitney New Markets Fund, LLC","$5,000,000.00 ","$5,238,255.00 ",Mobile,Mobile,AL,Alabama,36602,Business Financing,RE,NO,NO
AL0036,1017954300,Non-Metropolitan,2015,Multi-CDE Project,"$31,808,000.00 ","$58,739,187.00 ",Lanett,Lanett,AL,Alabama,36863,Business Financing,NRE,YES,NO
AL0037,1053970500,Non-Metropolitan,2015,Multi-CDE Project,"$1,271,814.90 ","$1,271,814.90 ",Atmore,Atmore,AL,Alabama,36502,Business Financing,NRE,YES,NO
AL0038,1089001301,Metropolitan,2015,"Advantage Capital Community Development Fund, LLC","$2,500,000.00 ","$2,500,000.00 ",Huntsville,Huntsville,AL,Alabama,35816,Business Financing,NRE,NO,NO
AL0039,1095030701,Non-Metropolitan,2015,"Morgan Stanley New Markets, Inc.","$7,000,000.00 ","$8,244,313.00 ",Guntersville,Guntersville,AL,Alabama,35976,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,SPE,NO,YES
AL0040,1073002700,Metropolitan,2015,"Brownfield Revitalization, LLC","$6,370,000.00 ","$33,559,880.00 ",Birmingham,Birmingham,AL,Alabama,35203,Real Estate–Rehabilitation–Commercial,RE,NO,NO
AL0041,1073002700,Metropolitan,2015,"National New Markets Fund, LLC","$22,655,000.00 ","$67,444,284.00 ",Birmingham,Birmingham,AL,Alabama,35203,Real Estate–Rehabilitation–Commercial,RE,NO,NO
AL0042,1097007400,Metropolitan,2015,"MuniStrategies, LLC","$10,000,000.00 ","$22,363,821.00 ",Mobile,Mobile,AL,Alabama,36615,Business Financing,NRE,NO,NO
AL0043,1053970300,Non-Metropolitan,2015,"Advantage Capital Community Development Fund, LLC","$1,300,000.00 ","$1,300,000.00 ",Flomaton,Flomaton,AL,Alabama,36441,Business Financing,NRE,NO,NO
AL0044,1073001200,Metropolitan,2015,"Advantage Capital Community Development Fund, LLC","$2,290,000.00 ","$2,290,000.00 ",Birmingham,Birmingham,AL,Alabama,35204,Business Financing,NRE,NO,NO
AL0045,1003011501,Non-Metropolitan,2013,"Pacesetter CDE, Inc.","$8,000,000.00 ","$10,000,000.00 ",Foley,Foley,AL,Alabama,36535,Business Financing,RE,NO,NO
AL0046,1073000800,Metropolitan,2016,Multi-CDE Project,"$20,740,000.00 ","$27,971,316.00 ",Birmingham,Birmingham,AL,Alabama,35234,Business Financing,NRE,YES,NO
AL0047,1089001301,Metropolitan,2016,"Urban Development Fund, LLC","$7,500,000.00 ","$7,730,720.00 ",Huntsville,Huntsville,AL,Alabama,35816,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,RE,NO,NO
AL0048,1127020100,Metropolitan,2016,"Enhanced Community Development, LLC","$8,333,334.00 ","$15,344,671.00 ",Jasper,Jasper,AL,Alabama,35501,Business Financing,NRE,NO,NO
AL0049,1031011000,Non-Metropolitan,2016,"Greenline Community Development Fund, LLC","$8,000,000.00 ","$8,000,000.00 ",Enterprise,Enterprise,AL,Alabama,36330,Business Financing,NRE,NO,NO
AL0050,1053970500,Non-Metropolitan,2016,"The Valued Advisor Fund, LLC","$654,500.00 ","$654,500.00 ",Atmore,Atmore,AL,Alabama,36502,Business Financing,SPE,NO,NO
AL0051,1053969900,Non-Metropolitan,2016,"The Valued Advisor Fund, LLC","$2,422,367.00 ","$2,424,754.00 ",Brewton,Brewton,AL,Alabama,36246,Business Financing,SPE,NO,NO
AL0052,1025957800,Non-Metropolitan,2016,"The Valued Advisor Fund, LLC","$3,700,000.00 ","$3,700,000.00 ",Grove Hill,Grove Hill,AL,Alabama,36451,Business Financing,NRE,NO,NO
AL0053,1003011501,Non-Metropolitan,2016,"The Valued Advisor Fund, LLC","$2,736,936.00 ","$2,736,936.00 ",Foley,Foley,AL,Alabama,36535,Business Financing,SPE,NO,NO
AL0054,1003011501,Non-Metropolitan,2016,Multi-CDE Project,"$3,721,503.00 ","$4,200,000.00 ",Foley,Foley,AL,Alabama,36535,Business Financing,NRE,YES,NO
AL0055,1073000300,Metropolitan,2016,"PNC Community Partners, Inc.","$6,000,000.00 ","$6,178,527.00 ",Birmingham,Birmingham,AL,Alabama,35212,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,SPE,NO,NO
AL0056,1059973300,Non-Metropolitan,2016,"MuniStrategies, LLC","$6,930,000.00 ","$34,758,670.00 ",Phil Campbell,Phil Campbell,AL,Alabama,35581,Business Financing,NRE,NO,NO
AL0057,1073002400,Metropolitan,2017,"Advantage Capital Community Development Fund, LLC","$500,000.00 ","$500,000.00 ",Birmingham,Birmingham,AL,Alabama,35233,Business Financing,NRE,NO,NO
AL0058,1099075900,Non-Metropolitan,2017,National Community Investment Fund,"$5,900,000.00 ","$6,346,700.00 ",Monroeville,Monroeville,AL,Alabama,36460,Real Estate–Rehabilitation–Commercial,SPE,NO,NO
AL0059,1053970500,Non-Metropolitan,2017,"The Valued Advisor Fund, LLC","$6,130,192.00 ","$7,558,190.00 ",Atmore,Atmore,AL,Alabama,36502,Business Financing,SPE,NO,NO
AL0060,1035960500,Non-Metropolitan,2017,"The Valued Advisor Fund, LLC","$158,030.87 ","$158,030.87 ",Evergreen,Evergreen,AL,Alabama,36401,Business Financing,NRE,NO,NO
AL0061,1003011501,Non-Metropolitan,2017,"The Valued Advisor Fund, LLC","$355,754.66 ","$355,754.66 ",Foley,Foley,AL,Alabama,36535,Business Financing,NRE,NO,NO
AL0062,1121011700,Non-Metropolitan,2017,Multi-CDE Project,"$34,500,000.00 ","$67,814,664.00 ",Sylacauga,Sylacauga,AL,Alabama,35150,Business Financing,NRE,YES,NO
AL0063,1073003900,Metropolitan,2017,Multi-CDE Project,"$20,140,100.00 ","$21,098,411.00 ",Birmingham,Birmingham,AL,Alabama,35208,Business Financing,NRE,YES,NO
AL0064,1097000200,Metropolitan,2017,"SOUTHERN COMMUNITY CAPITAL, LLC","$7,760,000.00 ","$7,814,875.00 ",Mobile,Mobile,AL,Alabama,36602,Real Estate–Rehabilitation–Commercial,RE,NO,NO
AL0065,1013952700,Non-Metropolitan,2017,"United Bancorporation of Alabama, Inc","$1,426,383.00 ","$1,678,098.00 ",Greenville,Greenville,AL,Alabama,36037,Real Estate–Rehabilitation–Commercial,SPE,NO,NO
AL0066,1053970500,Non-Metropolitan,2017,"United Bancorporation of Alabama, Inc","$492,892.80 ","$492,892.80 ",Atmore,Atmore,AL,Alabama,36502,Business Financing,NRE,NO,NO
AL0067,1053970500,Non-Metropolitan,2017,"United Bancorporation of Alabama, Inc","$1,618,895.00 ","$1,618,895.00 ","Atmore, Brewton, Atmore",Atmore,AL,Alabama,36502,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,SPE,NO,NO
AL0068,1025957602,Non-Metropolitan,2017,"United Bancorporation of Alabama, Inc","$390,000.00 ","$390,000.00 ",Thomasville,Thomasville,AL,Alabama,36784,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,SPE,NO,NO
AL0069,1003011501,Non-Metropolitan,2017,"United Bancorporation of Alabama, Inc","$308,266.16 ","$308,266.16 ",Foley,Foley,,Alabama,36535,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,SPE,NO,NO
AL0070,1003010904,Non-Metropolitan,2017,Multi-CDE Project,"$22,460,000.00 ","$37,878,632.00 ",Robertsdale,Robertsdale,AL,Alabama,35657,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,SPE,YES,NO
AL0071,1073002200,Metropolitan,2017,Harbor Bankshares Corporation,"$1,715,000.00 ","$1,715,000.00 ",Birmingham,Birmingham,AL,Alabama,35212,Business Financing,NRE,NO,NO
AR0001,5095950100,Non-Metropolitan,2005,Hope Enterprise Corporation,"$100,000.00 ","$185,000.00 ",Brinkley,Brinkley,AR,Arkansas,72021,Business Financing,NRE,NO,NO
AR0002,5095950100,Non-Metropolitan,2005,Hope Enterprise Corporation,"$454,382.00 ","$454,382.00 ",Brinkley,Brinkley,AR,Arkansas,72021,Business Financing,NRE,NO,NO
AR0003,5141460200,Non-Metropolitan,2005,"Heartland Renaissance Fund, LLC","$1,500,000.00 ","$3,500,000.00 ",CLINTON,Clinton,AR,Arkansas,72031,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,RE,NO,NO
AR0004,5041950200,Non-Metropolitan,2005,Hope Enterprise Corporation,"$200,000.00 ","$1,842,000.00 ",Dumas,Dumas,AR,Arkansas,71639,Business Financing,NRE,NO,NO
AR0005,5041950200,Non-Metropolitan,2006,Hope Enterprise Corporation,"$1,690,383.00 ","$1,690,383.00 ",Dumas,Dumas,AR,Arkansas,71639,Business Financing,NRE,NO,NO
AR0006,5143011300,Metropolitan,2005,"Heartland Renaissance Fund, LLC","$3,943,527.94 ","$33,000,000.00 ",FAYETTEVILLE,Fayetteville,AR,Arkansas,72701,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,RE,NO,NO
AR0007,5143011101,Metropolitan,2006,"Heartland Renaissance Fund, LLC","$5,859,000.00 ","$9,000,000.00 ",FAYETTEVILLE,Fayetteville,AR,Arkansas,72702,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,NRE,NO,NO
AR0008,5143011101,Metropolitan,2009,"Urban Research Park CDE, LLC","$12,000,000.00 ","$15,786,989.00 ",Fayetteville,Fayetteville,AR,Arkansas,72701,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,RE,NO,NO
AR0009,5051011602,Non-Metropolitan,2007,Hope Enterprise Corporation,"$666,600.00 ","$666,600.00 ",Hot Springs,Hot Springs National Park,AR,Arkansas,71901,Business Financing,NRE,NO,NO
AR0010,5051010800,Non-Metropolitan,2010,"Heartland Renaissance Fund, LLC","$14,799,406.00 ","$15,101,435.00 ",Hot Springs,Hot Springs National Park,AR,Arkansas,71901,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,SPE,NO,NO
AR0011,5119004500,Metropolitan,2009,Self-Help Ventures Fund,"$167,000.00 ","$192,000.00 ",Little Rock,Little Rock,AR,Arkansas,72202,Business Financing,NRE,NO,NO
AR0012,5119001900,Metropolitan,2007,Hope Enterprise Corporation,"$248,625.00 ","$248,625.00 ",Little Rock,Little Rock,AR,Arkansas,72204,Business Financing,NRE,NO,NO
AR0013,5043490400,Non-Metropolitan,2004,Hope Enterprise Corporation,"$100,000.00 ","$100,000.00 ",Monticello,Monticello,AR,Arkansas,71655,Business Financing,NRE,NO,NO
AR0015,5119003001,Metropolitan,2005,"Heartland Renaissance Fund, LLC","$3,500,000.00 ","$5,760,940.00 ",NORTH LITTLE ROCK,North Little Rock,AR,Arkansas,72114,Real Estate – Construction–Housing-Single Family,RE,NO,NO
AR0016,5069001000,Metropolitan,2005,Hope Enterprise Corporation,"$78,000.00 ","$78,000.00 ",Pine Bluff,Pine Bluff,ar,Arkansas,71601,Business Financing,NRE,NO,NO
AR0017,5069001000,Metropolitan,2004,Hope Enterprise Corporation,"$234,300.00 ","$464,300.00 ",Pine Bluff,Pine Bluff,AR,Arkansas,71601,Business Financing,NRE,NO,NO
AR0018,5145071100,Non-Metropolitan,2009,Hope Enterprise Corporation,"$196,561.00 ","$196,561.00 ",Searcy,Searcy,AR,Arkansas,72143,Business Financing,NRE,NO,NO
AR0019,5001480400,Non-Metropolitan,2009,Hope Enterprise Corporation,"$104,703.00 ","$104,703.00 ",Stuttgart,Stuttgart,AR,Arkansas,72160,Business Financing,NRE,NO,NO
AR0020,5001480400,Non-Metropolitan,2005,Hope Enterprise Corporation,"$767,000.00 ","$799,000.00 ",Stuttgart,Stuttgart,AR,Arkansas,72160,Business Financing,NRE,NO,NO
AR0021,5143011300,Metropolitan,2011,"Heartland Renaissance Fund, LLC","$15,827,000.00 ","$17,039,542.00 ",Fayetteville,Fayetteville,AR,Arkansas,72701,Real Estate–Rehabilitation–Commercial,SPE,NO,NO
AR0022,5119004700,Metropolitan,2011,"Heartland Renaissance Fund, LLC","$19,698,000.00 ","$33,981,309.00 ",Little Rock,Little Rock,AR,Arkansas,72202,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,SPE,NO,NO
AR0023,5093011000,Non-Metropolitan,2011,"Heartland Renaissance Fund, LLC","$7,374,470.00 ","$197,807,015.00 ",Osceola,Osceola,AR,Arkansas,72315,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,RE,NO,NO
AR0024,5007020301,Metropolitan,2011,"Heartland Renaissance Fund, LLC","$6,370,000.00 ","$6,647,494.00 ",Rogers,Rogers,AR,Arkansas,72756,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,SPE,NO,NO
AR0025,5041950100,Non-Metropolitan,2011,"Heartland Renaissance Fund, LLC","$31,360,000.00 ","$31,360,000.00 ",Tillar,Tillar,AR,Arkansas,71670,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,NRE,NO,YES
AR0026,5119004400,Metropolitan,2012,"Heartland Renaissance Fund, LLC","$19,600,000.00 ","$21,637,000.00 ",Little Rock,Little Rock,AR,Arkansas,72201,Real Estate–Rehabilitation–Commercial,RE,NO,NO
